,input_en,true_ba,pred_ba
0,lets see what is going to happen,nadatharava aenthu nooduva,ninnaga aena maadithae
1,come to village i will tell something important,hatti ga ba baevara aegina,nanga aennaga ollenge edhdhae
2,ther is a little water in this bottle,ei putti ya osi neeru tha hadathae,ei halla na ninna sarae hadathae
3,did you buy a new vechile,osa bandi esithiya,ninnaga aeguva ollenge hadathae
4,i buyed a new shirt,na ondhu osa kamisu esithae,na ollenge edhdhae
5,still how much time is left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
6,today i want to complete this,edhu endhdhu beriki haputhu,edhu na ninnaga edhdhae
7,this is in your hands,edhu ninna kai na tha hadathae,edhu appara thoda edhdhae
8,bus should come fast,bandi manakana bantharae sari,manakana bantharae banthara
9,honey is too  sweet,jaenu appara seeya,ninnaga appara sooka hadathae
10,he likes simbu,emaga simbu tha edathara,simbu aennaga edathara
11,he acts very well,emma ollenge nadichina,emma appara ollenge edhdhae
12,i am aslo a good actor,naanu ollenge nadichinae,ninnaga olliya olliya olliya
13,you should also act well,neeyu ollenge nadachathu,nee manakana ollenge edhdhae
14,he plays very good,emma bayangarava nalathana,emma appara sooka hadathae
15,did you see my sister,aenna amme ya nee noodithiya,aenna amme ya noodithae
16,they left the house without locking it,manaeya pootathae oidharae,manaeya ollenge hadathae
17,did you see my spectacles,aenna kannadiya noodithiya,aenna sarae noodithiya
18,need to buy a new slippers,osa mettu ondhu esothu,nee ollenge edhdhae
19,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sarae nooduthu ellae
20,how many months have you worked here,nee elliya aesu thinguva gelcha maadithae,nee aesu gelcha maadinae
21,fried rice will be so good,bartha kuu ollenge attra,kuu appara sooka attra
22,there are so many things for practice,ennu appara hadathae palukuthuga,ennu appara sarae hadathae edhdhae
23,what is the price for onion,benguvae balae aesaga,koosu ollenge hadathae
24,no i cant give,thaputhu mudiya ogu,na ninnaga edhdhae
25,i wont give,thaputhu ellae,na ninnaga edhdhae
