,input_ba,true_en,pred_en
0,nadatharava aenthu nooduva,lets see what is going to happen,lets see what will happen
1,hatti ga ba baevara aegina,come to village i will tell something important,come to village i will tell something important
2,ei putti ya osi neeru tha hadathae,ther is a little water in this bottle,ther is a little water in this bottle
3,osa bandi esithiya,did you buy a new vechile,did you buy a new vechile
4,na ondhu osa kamisu esithae,i buyed a new shirt,i buyed a new shirt
5,ennu aesu jaama hadathae,still how much time is left,still how much time is left
6,edhu endhdhu beriki haputhu,today i want to complete this,today i want to complete this
7,edhu ninna kai na tha hadathae,this is in your hands,this is in your hands
8,bandi manakana bantharae sari,bus should come fast,bus should come fast
9,jaenu appara seeya,honey is too  sweet,honey is too sweet
10,emaga simbu tha edathara,he likes simbu,he likes simbu
11,emma ollenge nadichina,he acts very well,he acts very well
12,naanu ollenge nadichinae,i am aslo a good actor,i aslo can act well
13,neeyu ollenge nadachathu,you should also act well,you should also act well
14,emma bayangarava nalathana,he plays very good,he plays very good
15,aenna amme ya nee noodithiya,did you see my sister,did you see my sister
16,manaeya pootathae oidharae,they left the house without locking it,they left the house without locking it
17,aenna kannadiya noodithiya,did you see my spectacles,did you see my spectacles
18,osa mettu ondhu esothu,need to buy a new slippers,need to buy a new slippers
19,aennaga sambuva aella ondhu ellae,i dont have any salary,i dont have any salary
20,nee elliya aesu thinguva gelcha maadithae,how many months have you worked here,how many months have you worked here
21,bartha kuu ollenge attra,fried rice will be so good,fried rice will be so good
22,ennu appara hadathae palukuthuga,there are so many things for practice,there are so many things for practice
23,benguvae balae aesaga,what is the price for onion,what is the price for onion
24,thaputhu mudiya ogu,no i cant give,no i cant give
25,thaputhu ellae,i wont give,i wont give
26,ninnaga edhu ostha,is this new for you,is this new for you
27,endhdhu elliya ondhu saavu,today there is a death ceremony here,today there is no houseflies here
28,kaaputhu ondhu sogatha,waiting feels good,waiting feels good
29,baanu sooka hadathae endhdhu,sky is so good today,sky is so good today
30,aennaga evakava appara edathara,i like them so much,i like them so much
31,maranae nee pallitu ga odhaya,day before yesterday did you go to school,day before yesterday did you go to school
32,nee paappa maadibutae,you commited a sin,you commited a sin
33,aennaga endhdhu ootae asuputhu ellae,i dont feel hungry today,i dont feel hungry today
34,ninna sarae hana attrae osi tharika,lend me some money if you have,lend me some money if you have
35,ha ollenge edhdhae,yes iam fine,yes iam fine
36,madhuvae aeguva,when is your marriage,when is your marriage
37,ninnaga aesu vayasu,what is your age,what is your age
38,ninna anna na hesaru aena,what is your brothers name,what is your brothers name
39,habba aeguva,when is the festival,when is the festival
40,aena maadirae,what are you doing,what are you doing
41,manaega ogae aththu,get lost,get lost
42,soomi kaapathu,god save us,god save us
43,manae ogasu baarivi,come inside the house,come inside the house
44,edhu aeka ethae hadathae,why it is like this,why it is like this
45,edhu appara kastava hadathae ae,this is so difficult,this is so difficult
46,nee ennu orugulaya,still you havent slept,still you havent slept
47,kodhara da evaka,they are killing us,they are killing us
48,aenga manaega oppa baarivi,come we will go to my house,come we will go to my house
49,habba aella singarava,how was the festival,how was the festival
50,naaiga gelcha hadathaya,do you have work tommorrow,do you have work tommorrow
51,aesaga haenna hadathae,how much money do you have,how much money do you have
52,mudivu maadithiya,did you decided,did you decided
53,na jaennagu bapa jaama na tha bannae,asusual time i will come,asusual time i will come
54,aesu manniga opputhu,which time we will go,which time we will go
55,na noodavae ellae ninna,i havent seen you,i havent seen you
56,appara baasae hada baeda,dont talk too much,dont talk too much
57,mariyathiya baasae haadu,talk with respect,talk with respect
58,naaiga mukiyavaenna jaenna,tommorrow is an important day,tommorrow is an important day
59,enga naaiga bannaeyo,we are coming tomorrow.,we are coming tomorrow.
60,ninna hatti aedhu,which is your village,which is your village
61,aeradu manniga oppa,two o clock we will go,two o clock we will go
62,bodhavaara orrasu oppa,wednesday we will go out,wednesday we will go out
63,eattu pallitu hattiya hadathae,eight schools are there in the village,eight schools are there in the village
64,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i told what did you do
65,ninnaga baerae gelcha vae ellaya,you dont have any other works,you dont have any other works
66,ollenge thindharae orruku ollenge bandhara,if you eat well ypou can sleep well,if you eat well ypou can sleep well
67,emma appara hanjuguli thava,he is a too scared person,he is a too scared person
68,nanga jaechibuta maara,we won maara,we won maara
69,ennu aesu jaama tha sapaena ebbuthu,how long we should wait without doing anything,how long we should wait without doing anything
70,endhdhu appara gelcha aipta,today i had so much work,today i had so much work
71,eni maellae tha na gelcha maadinae,from now only im going to work,from now only im going to work
72,na aena aeguthu aendhdhu gaena buttuptae,i forgot what i should tell,i forgot what i should tell
73,appara ossanae maada baeda,dont think too much,dont think too much
74,ninga esta aenavo maadi,your wich do whatever you want,your wich do whatever you want
75,aenaga suthava verupa vae ellae,im not even interested,im not even interested
76,aelliga oithu banthae nee,where did you go,where did you go
77,edhu tha ninnaga kadaisi vaaipu,this is your last chance,this is your last chance
78,nee badaga harathaya,are you badaga,are you badaga
79,na eni maellae ei gelchava maaduthu ellae,i wont do this work hereafter,i wont do this work hereafter
80,jaama aipta manakana manaega ogu,its time go home quickly,its time go home quickly
81,ninnuthu appara kunna kai thava,your hands are so tiny,your hands are so tiny
82,mandae besitu manaega ba ellati bara baeda,get a haircut and come home otherwise dont come,get a haircut and come home otherwise dont come
83,edhu ega nathuga mudiya makae,we cant complete this now,we cant complete this now
84,naaiga siti jama hara baputhuga,tomorrow i will come late,tomorrow i will come late
85,battlu thumba thindhubutaya,did you eat the whole plate,did you eat the whole plate
86,olleya paatu attrae aegu aennaga,suggest me some good songs,suggest me some good songs
87,koosu ga porumae ellae,this kid has no cool,this kid has no cool
88,ninga mannae appara kunnuthu,your house is too small,your house is too small
89,ninnava noodirae aennaga appara negusu banthara,when i look at you i feel like laughing,when i look at you i feel like laughing
90,muuka seenjirae aeka odambu sari ellaya,you were having  a cold are you alright,you were having a cold are you alright
91,gaena naaenna ellathae haithanae,he is subconscious,he is subconscious
92,endhdhu appara besulu,today is too sunny,today is too sunny
93,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,the cow is worshiped as a god by badagas
94,aennaga edhu sittitu saethi edipillae,i dont even like this,i dont even like this
95,aenga manaeya aenna amma tha rani,my mother is our queen in my house,my mother is our queen in my house
96,nee thoddama harae aena harae,what is your aim in life,what is your aim in life
97,nee aellava gevana buttu butrae,you will forgot everything,you will forgot everything
98,aella aelliga oiypru,where did everyone go,where did everyone go
99,aella aelliga oiypru,where did everyone go,where did everyone go
100,aella baruthu butaya,did you write everything,did you write everything
101,ettu edipiliya,i dont like the food,i dont like the food
102,haluva esi thinnu,eat limitedly,eat limitedly
103,ninga tha saakithara ei nae ya,did you adopt this dog,did you adopt this dog
104,ninga enna gata aessaga nae saakithii,how many dogs did you adopt till now,how many dogs did you adopt till now
105,nee aennaga aegi thantharaya,will you teach me,will you teach me
106,issh hadhuna aella dhaara arudhu dharae,i dont know this,i dont know this
107,anga aguvavu tamil pada tha noodiniyu,we always watch tamil movies,we always watch tamil movies
