,input_en,true_ba,output
0,lets see what is going to happen,nadatharava aenthu nooduva,nadatharava aenthu noodithae
1,come to village i will tell something important,hatti ga ba baevara aegina,hatti ga ba baevara aegina baarivi
2,ther is a little water in this bottle,ei putti ya osi neeru tha hadathae,ei putti ya osi neeru tha hadathae
3,did you buy a new vechile,osa bandi esithiya,osa bandi esithiya
4,i buyed a new shirt,na ondhu osa kamisu esithae,na ondhu osa kamisu esinae
5,still how much time is left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
6,today i want to complete this,edhu endhdhu beriki haputhu,edhu endhdhu beriki haputhu
7,this is in your hands,edhu ninna kai na tha hadathae,edhu ninna kai na tha hadathae
8,bus should come fast,bandi manakana bantharae sari,bandi manakana bantharae sari
9,honey is too  sweet,jaenu appara seeya,jaenu appara seeya
10,he likes simbu,emaga simbu tha edathara,emaga simbu tha edathara
11,he acts very well,emma ollenge nadichina,emma ollenge nadichina
12,i am aslo a good actor,naanu ollenge nadichinae,naanu ollenge nadichinae
13,you should also act well,neeyu ollenge nadachathu,neeyu ollenge nadachathu
14,he plays very good,emma bayangarava nalathana,emma bayangarava nalathana
15,did you see my sister,aenna amme ya nee noodithiya,aenna amme ya nee noodithiya
16,they left the house without locking it,manaeya pootathae oidharae,manaeya pootathae oidharae
17,did you see my spectacles,aenna kannadiya noodithiya,aenna kannadiya noodithiya
18,need to buy a new slippers,osa mettu ondhu esothu,osa mettu ondhu esothu
19,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sambuva aella ondhu ellae
20,how many months have you worked here,nee elliya aesu thinguva gelcha maadithae,nee elliya aesu thinguva gelcha maadithae
21,fried rice will be so good,bartha kuu ollenge attra,baratha kuu ollenge attra
22,there are so many things for practice,ennu appara hadathae palukuthuga,ennu appara hadathae palukuthuga
23,what is the price for onion,benguvae balae aesaga,benguvae balae aesaga
24,no i cant give,thaputhu mudiya ogu,thaputhu mudiya ogu
25,i wont give,thaputhu ellae,thaputhu ellae
26,is this new for you,ninnaga edhu ostha,ninnaga edhu ostha
27,today there is a death ceremony here,endhdhu elliya ondhu saavu,endhdhu elliya ondhu saavu
28,waiting feels good,kaaputhu ondhu sogatha,kaaputhu ondhu sogatha
29,sky is so good today,baanu sooka hadathae endhdhu,baanu sooka hadathae endhdhu
30,i like them so much,aennaga evakava appara edathara,aennaga evakava appara edathara
31,day before yesterday did you go to school,maranae nee pallitu ga odhaya,maranae nee pallitu ga odhaya
32,you commited a sin,nee paappa maadibutae,nee paappa maadibutae
33,i dont feel hungry today,aennaga endhdhu ootae asuputhu ellae,aennaga endhdhu ootae asuputhu ellae
34,lend me some money if you have,ninna sarae hana attrae osi tharika,ninna sarae hana attrae osi tharika
35,yes iam fine,ha ollenge edhdhae,ha ollenge edhdhae
36,when is your marriage,madhuvae aeguva,madhuvae aeguva
37,what is your age,ninnaga aesu vayasu,ninnaga aesu vayasu
38,what is your brothers name,ninna anna na hesaru aena,ninna anna na hesaru aena
39,when is the festival,habba aeguva,habba aeguva
40,what are you doing,aena maadirae,aena maadirae
41,get lost,manaega ogae aththu,manaega ogae aththu
42,god save us,soomi kaapathu,soomi kaapathu
43,come inside the house,manae ogasu baarivi,manae ogasu baarivi
44,why it is like this,edhu aeka ethae hadathae,edhu aeka ethae hadathae
45,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta thava edhu
46,still you havent slept,nee ennu orugulaya,nee ennu orugulaya
47,they are killing us,kodhara da evaka,kodhara da evaka
48,come we will go to my house,aenga manaega oppa baarivi,aenga manaega oppa baarivi
49,how was the festival,habba aella singarava,habba aella singarava
50,do you have work tommorrow,naaiga gelcha hadathaya,naaiga gelcha hadathaya
51,how much money do you have,aesaga haenna hadathae,aesaga haenna hadathae
52,did you decided,mudivu maadithiya,maadithiya maadithiya
