,input_ba,true_en,pred_en
0,nadatharava aenthu nooduva,lets see what is going to happen,tell me a story
1,hatti ga ba baevara aegina,come to village i will tell something important,tell me a story
2,ei putti ya osi neeru tha hadathae,ther is a little water in this bottle,this is a good product
3,osa bandi esithiya,did you buy a new vechile,did you buy a new band
4,na ondhu osa kamisu esithae,i buyed a new shirt,i havent seen you
5,ennu aesu jaama hadathae,still how much time is left,how many days left
6,edhu endhdhu beriki haputhu,today i want to complete this,today i will come here
7,edhu ninna kai na tha hadathae,this is in your hands,there is a lot of water in this river
8,bandi manakana bantharae sari,bus should come fast,come fast to bus stop
9,jaenu appara seeya,honey is too  sweet,it is raining too much
10,emaga simbu tha edathara,he likes simbu,he is a good guy
11,emma ollenge nadichina,he acts very well,he is a good guy
12,naanu ollenge nadichinae,i am aslo a good actor,i will be able to walk fast
13,neeyu ollenge nadachathu,you should also act well,you should learn more
14,emma bayangarava nalathana,he plays very good,he is a good guy
15,aenna amme ya nee noodithiya,did you see my sister,did you see my brother
16,manaeya pootathae oidharae,they left the house without locking it,i have two cats
17,aenna kannadiya noodithiya,did you see my spectacles,did you see my eyes
18,osa mettu ondhu esothu,need to buy a new slippers,we can buy a new shirt
19,aennaga sambuva aella ondhu ellae,i dont have any salary,i dont have any other things
20,nee elliya aesu thinguva gelcha maadithae,how many months have you worked here,how many days are left for work
21,bartha kuu ollenge attra,fried rice will be so good,drink some water
22,ennu appara hadathae palukuthuga,there are so many things for practice,there is a lot of water in this river
23,benguvae balae aesaga,what is the price for onion,what is the price for this
24,thaputhu mudiya ogu,no i cant give,you should drink water
25,thaputhu ellae,i wont give,i dont have milk
26,ninnaga edhu ostha,is this new for you,you should know this
27,endhdhu elliya ondhu saavu,today there is a death ceremony here,today i have a good day
28,kaaputhu ondhu sogatha,waiting feels good,i havent slept well
29,baanu sooka hadathae endhdhu,sky is so good today,today it is raining
30,aennaga evakava appara edathara,i like them so much,i like cats so much
31,maranae nee pallitu ga odhaya,day before yesterday did you go to school,did you go to school
